Year,Group,Home_name,Home_seed,Away_name,Away_seed,Home_score,Away_score
2015,A,Olympiacos,3,At.Madrid,1,3,2
2015,A,Juventus,2,Malmo,4,2,0
2015,A,Malmo,4,Olympiacos,3,2,0
2015,A,At.Madrid,1,Juventus,2,1,0
2015,A,At.Madrid,1,Malmo,4,5,0
2015,A,Olympiacos,3,Juventus,2,1,0
2015,A,Malmo,4,At.Madrid,1,0,2
2015,A,Juventus,2,Olympiacos,3,3,2
2015,A,At.Madrid,1,Olympiacos,3,4,0
2015,A,Malmo,4,Juventus,2,0,2
2015,A,Olympiacos,3,Malmo,4,4,2
2015,A,Juventus,2,At.Madrid,1,0,0
2015,B,Liverpool,3,Razgrad,4,2,1
2015,B,R.Madrid,1,Basel,2,5,1
2015,B,Basel,2,Liverpool,3,1,0
2015,B,Razgrad,4,R.Madrid,1,1,2
2015,B,Razgrad,4,Basel,2,1,0
2015,B,Liverpool,3,R.Madrid,1,0,3
2015,B,Basel,2,Razgrad,4,4,0
2015,B,R.Madrid,1,Liverpool,3,1,0
2015,B,Razgrad,4,Liverpool,3,2,2
2015,B,Basel,2,R.Madrid,1,0,1
2015,B,Liverpool,3,Basel,2,1,1
2015,B,R.Madrid,1,Razgrad,4,4,0
2015,C,Monaco,4,Leverkusen,3,1,0
2015,C,Benfica,1,Zenit,2,0,2
2015,C,Zenit,2,Monaco,4,0,0
2015,C,Leverkusen,3,Benfica,1,3,1
2015,C,Leverkusen,3,Zenit,2,2,0
2015,C,Monaco,4,Benfica,1,0,0
2015,C,Zenit,2,Benfica,1,1,0
2015,C,Leverkusen,3,Monaco,4,0,1
2015,C,Monaco,4,Zenit,2,2,0
2015,C,Benfica,1,Leverkusen,3,0,0
2015,C,Zenit,2,Leverkusen,3,1,2
2015,C,Benfica,1,Monaco,4,1,0
2015,D,Galatasaray,3,Anderlecht,4,1,1
2015,D,Dortmund,2,Arsenal,1,2,0
2015,D,Arsenal,1,Galatasaray,3,4,1
2015,D,Anderlecht,4,Dortmund,2,0,3
2015,D,Anderlecht,4,Arsenal,1,1,2
2015,D,Galatasaray,3,Dortmund,2,0,4
2015,D,Arsenal,1,Anderlecht,4,3,3
2015,D,Dortmund,2,Galatasaray,3,4,1
2015,D,Anderlecht,4,Galatasaray,3,2,0
2015,D,Arsenal,1,Dortmund,2,2,0
2015,D,Galatasaray,3,Arsenal,1,1,4
2015,D,Dortmund,2,Anderlecht,4,1,1
2015,E,Roma,4,CSKA.Moscow,3,5,1
2015,E,Bayern,1,Man.City,2,1,0
2015,E,CSKA.Moscow,3,Bayern,1,0,1
2015,E,Man.City,2,Roma,4,1,1
2015,E,CSKA.Moscow,3,Man.City,2,2,2
2015,E,Roma,4,Bayern,1,1,7
2015,E,Man.City,2,CSKA.Moscow,3,1,2
2015,E,Bayern,1,Roma,4,2,0
2015,E,CSKA.Moscow,3,Roma,4,1,1
2015,E,Man.City,2,Bayern,1,3,2
2015,E,Roma,4,Man.City,2,0,2
2015,E,Bayern,1,CSKA.Moscow,4,3,0
2015,F,Barcelona,1,APOEL,4,1,0
2015,F,Ajax,3,PSG,2,1,1
2015,F,PSG,2,Barcelona,1,3,2
2015,F,APOEL,4,Ajax,3,1,1
2015,F,APOEL,4,PSG,2,0,1
2015,F,Barcelona,1,Ajax,3,3,0
2015,F,PSG,2,APOEL,4,1,0
2015,F,Ajax,3,Barcelona,1,0,2
2015,F,APOEL,4,Barcelona,1,0,4
2015,F,PSG,2,Ajax,3,3,1
2015,F,Barcelona,1,PSG,2,3,1
2015,F,Ajax,3,APOEL,4,4,0
2015,G,Chelsea,1,Schalke,2,1,1
2015,G,Maribor,4,Sporting.CP,3,1,1
2015,G,Sporting.CP,3,Chelsea,1,0,1
2015,G,Schalke,2,Maribor,4,1,1
2015,G,Schalke,2,Sporting.CP,3,4,3
2015,G,Chelsea,1,Maribor,4,6,0
2015,G,Sporting.CP,3,Schalke,2,4,2
2015,G,Maribor,4,Chelsea,1,1,1
2015,G,Schalke,2,Chelsea,1,0,5
2015,G,Sporting.CP,3,Maribor,4,3,1
2015,G,Chelsea,1,Sporting.CP,3,3,1
2015,G,Maribor,4,Schalke,2,0,1
2015,H,Porto,1,Borisov,4,6,0
2015,H,Bilbao,3,Donetsk,2,0,0
2015,H,Donetsk,2,Porto,1,2,2
2015,H,Borisov,4,Bilbao,3,2,1
2015,H,Borisov,4,Donetsk,2,0,7
2015,H,Porto,1,Bilbao,3,2,1
2015,H,Donetsk,2,Borisov,4,5,0
2015,H,Bilbao,3,Porto,1,0,2
2015,H,Borisov,4,Porto,1,0,3
2015,H,Donetsk,2,Bilbao,3,0,1
2015,H,Porto,1,Donetsk,2,1,1
2015,H,Bilbao,3,Borisov,4,2,0
2014,A,Man.Utd,1,Leverkusen,3,4,2
2014,A,R.Sociedad,4,Donetsk,2,0,2
2014,A,Donetsk,2,Man.Utd,1,1,1
2014,A,Leverkusen,3,R.Sociedad,4,2,1
2014,A,Leverkusen,3,Donetsk,2,4,0
2014,A,Man.Utd,1,R.Sociedad,4,1,0
2014,A,Donetsk,2,Leverkusen,3,0,0
2014,A,R.Sociedad,4,Man.Utd,1,0,0
2014,A,Leverkusen,3,Man.Utd,1,0,5
2014,A,Donetsk,2,R.Sociedad,4,4,0
